期号,日期,中奖号码,特别号码,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50
21/028,2021-04-13,"7,10,13,14,20,35",49,"7,13,14",5,1,3,3,2,3,0,1,0
21/027,2021-04-09,"7,9,12,13,14,16",23,7,6,0,3,3,2,4,0,0,0
21/026,2021-04-06,"4,7,8,20,22,41",21,,5,1,2,4,3,1,1,0,1
21/025,2021-04-02,"1,2,33,34,42,49",39,,2,4,3,3,2,0,0,2,2
21/024,2021-03-30,"24,26,36,37,41,43",31,"24,26,43",1,5,3,3,0,0,2,2,2
21/023,2021-03-26,"6,12,24,26,30,43",20,,3,3,1,5,1,1,3,0,1
21/022,2021-03-23,"11,14,16,19,38,41",6,14,4,2,3,3,0,4,0,1,1
21/021,2021-03-19,"3,8,9,14,23,25",35,,5,1,4,2,3,1,2,0,0
21/020,2021-03-12,"16,17,21,24,43,47",30,43,4,2,4,2,0,2,2,0,2
21/019,2021-03-05,"1,23,32,38,43,46",5,,2,4,3,3,1,0,1,2,2
21/018,2021-03-02,"6,15,16,21,27,28",43,,4,2,3,3,1,2,3,0,0
21/017,2021-02-26,"14,17,35,37,39,46",2,14,2,4,4,2,0,2,0,3,1
21/016,2021-02-23,"2,14,18,28,34,44",21,"14,44",3,3,0,6,1,2,1,1,1
21/015,2021-02-19,"4,5,13,14,25,44",16,13,4,2,3,3,2,2,1,0,1
21/014,2021-02-16,"3,13,28,30,31,45",22,31,2,4,4,2,1,1,2,1,1
21/013,2021-02-12,"6,25,31,36,41,47",10,31,1,5,4,2,1,0,1,2,2
21/012,2021-02-09,"1,2,16,20,31,38",7,16,4,2,2,4,2,2,0,2,0
21/011,2021-02-05,"10,16,22,40,44,45",49,,3,3,1,5,1,1,1,1,2
21/010,2021-02-02,"18,21,24,26,30,35",48,"30,35",3,3,2,4,0,1,4,1,0
21/009,2021-01-29,"2,10,30,31,35,46",3,,2,4,2,4,2,0,1,2,1
21/008,2021-01-26,"5,9,16,21,44,49",15,"16,21",4,2,4,2,2,1,1,0,2
21/007,2021-01-22,"15,16,18,21,24,31",22,21,5,1,3,3,0,3,2,1,0
21/006,2021-01-19,"14,21,22,38,40,45",17,45,3,3,2,4,0,1,2,2,1
21/005,2021-01-15,"4,24,39,41,42,45",6,,2,4,3,3,1,0,1,1,3
21/004,2021-01-12,"5,19,22,26,35,40",2,"5,19",3,3,3,3,1,1,2,2,0
21/003,2021-01-08,"5,19,29,32,33,34",43,,2,4,4,2,1,1,1,3,0
21/002,2021-01-05,"22,24,30,36,38,46",33,46,2,4,0,6,0,0,3,2,1
21/001,2021-01-02,"3,9,14,21,45,46",34,,4,2,4,2,2,1,1,0,2
20/030,2020-12-29,"10,11,24,39,41,42",22,"24,41",3,3,3,3,1,1,1,1,2
20/029,2020-12-25,"14,18,24,27,28,41",45,,3,3,2,4,0,2,3,0,1
20/028,2020-12-22,"11,20,36,37,39,48",21,11,2,4,3,3,0,2,0,3,1
20/027,2020-12-18,"8,11,12,23,34,49",28,11,4,2,3,3,1,2,1,1,1
20/026,2020-12-15,"2,11,13,20,21,33",14,11,5,1,4,2,1,3,1,1,0
20/025,2020-12-11,"1,11,23,29,41,46",44,,3,3,5,1,1,1,2,0,2
20/024,2020-12-08,"7,32,34,35,48,49",23,,1,5,3,3,1,0,0,3,2
20/023,2020-12-04,"11,13,19,38,39,41",47,,3,3,5,1,0,3,0,2,1
20/022,2020-12-01,"24,27,29,31,42,47",22,27,1,5,4,2,0,0,3,1,2
20/021,2020-11-27,"5,12,13,23,27,38",39,12,4,2,4,2,1,2,2,1,0
20/020,2020-11-24,"7,12,16,22,45,47",25,22,4,2,3,3,1,2,1,0,2
20/019,2020-11-20,"22,25,30,33,34,43",24,33,1,5,3,3,0,0,3,2,1
20/018,2020-11-17,"13,19,20,21,33,49",45,,4,2,5,1,0,3,1,1,1
20/017,2020-11-13,"6,15,17,18,28,47",32,"15,28",4,2,3,3,1,3,1,0,1
20/016,2020-11-10,"13,15,25,28,45,49",24,,2,4,5,1,0,2,2,0,2
20/015,2020-11-06,"11,17,35,36,38,40",6,"11,38,40",2,4,3,3,0,2,0,4,0
20/014,2020-10-29,"6,11,33,38,40,43",2,,2,4,3,3,1,1,0,3,1
20/013,2020-10-22,"1,13,19,24,29,45",26,,4,2,5,1,1,2,2,0,1
20/012,2020-10-15,"9,26,28,33,38,46",44,"28,33",1,5,2,4,1,0,2,2,1
20/011,2020-10-08,"21,28,33,34,40,47",49,"21,28",1,5,3,3,0,0,2,3,1
20/010,2020-09-29,"9,21,26,27,28,48",45,26,2,4,3,3,1,0,4,0,1
20/009,2020-09-24,"11,24,26,35,42,44",20,,2,4,2,4,0,1,2,1,2
20/008,2020-02-01,"3,5,30,31,43,48",13,,2,4,4,2,2,0,1,1,2
20/007,2020-01-23,"2,11,13,45,46,49",42,11,3,3,4,2,1,2,0,0,3
20/006,2020-01-21,"11,14,21,28,37,44",36,,3,3,3,3,0,2,2,1,1
20/005,2020-01-18,"18,29,32,33,36,40",38,32,1,5,2,4,0,1,1,4,0
20/004,2020-01-16,"2,20,24,30,32,46",1,,3,3,0,6,1,1,2,1,1
20/003,2020-01-12,"5,17,35,37,42,49",39,37,2,4,5,1,1,1,0,2,2
20/002,2020-01-07,"1,24,25,27,31,37",8,37,2,4,5,1,1,0,3,2,0
20/001,2020-01-02,"15,17,29,30,34,37",40,,2,4,4,2,0,2,2,2,0
19/144,2019-12-31,"5,10,18,20,28,33",17,,4,2,2,4,2,2,1,1,0
19/143,2019-12-28,"1,22,25,27,31,36",47,,2,4,4,2,1,0,3,2,0
19/142,2019-12-24,"5,11,14,23,30,32",20,11,4,2,3,3,1,2,2,1,0
19/141,2019-12-22,"11,22,24,26,41,42",2,"22,24",3,3,2,4,0,1,3,0,2
19/140,2019-12-19,"22,24,28,31,35,39",12,,2,4,3,3,0,0,3,3,0
19/139,2019-12-17,"3,20,23,30,34,41",47,,3,3,3,3,1,1,2,1,1
19/138,2019-12-14,"2,4,6,8,28,29",5,6,4,2,1,5,4,0,2,0,0
19/137,2019-12-12,"6,21,32,35,39,49",15,"6,35",2,4,4,2,1,0,1,3,1
19/136,2019-12-10,"5,6,11,12,28,35",17,,4,2,3,3,2,2,1,1,0
19/135,2019-12-07,"14,25,26,30,32,47",4,,1,5,2,4,0,1,3,1,1
19/134,2019-12-05,"2,6,8,16,23,31",1,23,5,1,2,4,3,1,1,1,0
19/133,2019-12-03,"1,15,23,29,45,47",6,1,3,3,6,0,1,1,2,0,2
19/132,2019-11-30,"1,10,18,24,40,49",7,,4,2,2,4,2,1,1,1,1
19/131,2019-11-28,"22,23,29,36,41,44",2,,2,4,3,3,0,0,3,1,2
19/130,2019-11-26,"5,9,15,25,42,45",38,,3,3,5,1,2,1,1,0,2
19/129,2019-11-24,"1,20,28,30,35,46",15,35,2,4,2,4,1,1,2,1,1
19/128,2019-11-21,"3,4,5,10,35,38",7,4,4,2,3,3,4,0,0,2,0
19/127,2019-11-19,"1,4,12,13,24,42",48,,5,1,2,4,2,2,1,0,1
19/126,2019-11-16,"10,23,28,39,44,47",13,,2,4,3,3,1,0,2,1,2
19/125,2019-11-14,"2,3,13,18,31,49",14,"18,31",4,2,4,2,2,2,0,1,1
19/124,2019-11-10,"6,17,18,23,31,46",44,,4,2,3,3,1,2,1,1,1
19/123,2019-11-07,"7,20,30,33,34,44",46,30,2,4,2,4,1,1,1,2,1
19/122,2019-11-02,"13,15,25,30,40,46",26,13,2,4,3,3,0,2,2,1,1
19/121,2019-10-29,"2,10,13,19,20,24",17,24,6,0,2,4,2,3,1,0,0
19/120,2019-10-26,"1,17,24,30,40,49",48,,3,3,3,3,1,1,2,1,1
19/119,2019-10-24,"7,10,16,23,27,34",24,,4,2,3,3,2,1,2,1,0
19/118,2019-10-22,"1,6,11,31,41,47",32,"1,6",3,3,5,1,2,1,0,1,2
19/117,2019-10-19,"1,6,19,22,42,44",25,19,4,2,2,4,2,1,1,0,2
19/116,2019-10-17,"14,18,19,21,45,47",49,,4,2,4,2,0,3,1,0,2
19/115,2019-10-13,"10,16,27,29,37,42",44,,2,4,3,3,1,1,2,1,1
19/114,2019-10-08,"13,23,35,36,43,47",16,13,2,4,5,1,0,1,1,2,2
19/113,2019-10-03,"1,12,13,15,19,45",44,,5,1,5,1,1,4,0,0,1
19/112,2019-09-29,"2,3,7,10,18,48",33,"2,3",5,1,2,4,4,1,0,0,1
19/111,2019-09-26,"2,3,11,20,27,46",4,46,4,2,3,3,2,2,1,0,1
19/110,2019-09-24,"6,17,44,45,46,49",41,44,2,4,3,3,1,1,0,0,4
19/109,2019-09-22,"3,28,39,40,42,44",37,"39,42,44",1,5,2,4,1,0,1,2,2
19/108,2019-09-19,"8,17,34,39,42,44",7,,2,4,2,4,1,1,0,2,2
19/107,2019-09-17,"12,20,22,26,30,36",2,12,3,3,0,6,0,2,3,1,0
19/106,2019-09-14,"1,4,7,12,19,28",43,,5,1,3,3,3,2,1,0,0
19/105,2019-09-12,"5,23,24,25,31,33",7,,3,3,5,1,1,0,3,2,0
19/104,2019-09-10,"11,12,13,28,43,49",47,"12,43",3,3,4,2,0,3,1,0,2
19/103,2019-09-07,"7,8,12,25,43,45",13,,3,3,4,2,2,1,1,0,2
19/102,2019-09-05,"3,4,18,29,41,44",39,,3,3,3,3,2,1,1,0,2
19/101,2019-09-03,"2,8,17,24,27,39",10,24,4,2,3,3,2,1,2,1,0
19/100,2019-08-31,"1,6,14,24,32,44",5,"24,44",4,2,1,5,2,1,1,1,1
19/099,2019-08-29,"8,24,26,37,38,44",18,,2,4,1,5,1,0,2,2,1
19/098,2019-08-27,"6,18,29,33,43,46",16,,2,4,3,3,1,1,1,1,2
19/097,2019-08-24,"1,10,21,31,47,49",13,1,3,3,5,1,2,0,1,1,2
19/096,2019-08-22,"1,4,5,6,42,43",8,,4,2,3,3,4,0,0,0,2
19/095,2019-08-20,"12,15,16,23,32,35",2,32,4,2,3,3,0,3,1,2,0
19/094,2019-08-17,"4,9,20,26,32,44",11,,3,3,1,5,2,1,1,1,1
19/093,2019-08-15,"2,13,23,35,38,46",17,,3,3,3,3,1,1,1,2,1
19/092,2019-08-13,"10,14,16,29,30,43",11,,3,3,2,4,1,2,2,0,1
19/091,2019-08-10,"15,22,42,44,48,49",6,44,2,4,2,4,0,1,1,0,4
19/090,2019-08-08,"8,9,19,25,30,44",37,,3,3,3,3,2,1,2,0,1
19/089,2019-08-06,"5,6,15,21,22,37",36,37,5,1,4,2,2,1,2,1,0
19/088,2019-08-03,"23,24,27,28,37,43",16,43,2,4,4,2,0,0,4,1,1
19/087,2019-08-01,"13,18,20,21,43,49",30,,4,2,4,2,0,3,1,0,2
19/086,2019-07-30,"3,16,19,22,41,44",29,19,4,2,3,3,1,2,1,0,2
19/085,2019-07-27,"4,14,19,24,39,45",8,,4,2,3,3,1,2,1,1,1
19/084,2019-07-25,"7,10,11,16,18,35",43,,5,1,3,3,2,3,0,1,0
19/083,2019-07-23,"14,19,25,38,39,42",46,,2,4,3,3,0,2,1,2,1
19/082,2019-07-20,"26,27,30,33,44,47",37,,0,6,3,3,0,0,3,1,2
19/081,2019-07-18,"2,4,8,11,17,31",19,,5,1,3,3,3,2,0,1,0
19/080,2019-07-16,"6,16,22,28,37,45",13,,3,3,2,4,1,1,2,1,1
19/079,2019-07-13,"12,14,32,35,38,46",16,32,2,4,1,5,0,2,0,3,1
19/078,2019-07-11,"3,6,26,27,32,49",29,3,2,4,3,3,2,0,2,1,1
19/077,2019-07-09,"3,5,20,31,39,42",25,42,3,3,4,2,2,1,0,2,1
19/076,2019-07-06,"7,8,10,11,28,42",29,,4,2,2,4,3,1,1,0,1
19/075,2019-07-04,"1,2,12,15,24,44",14,15,5,1,2,4,2,2,1,0,1
19/074,2019-07-02,"13,14,15,42,45,48",2,13,3,3,3,3,0,3,0,0,3
19/073,2019-06-29,"9,13,22,29,31,46",45,46,3,3,4,2,1,1,2,1,1
19/072,2019-06-27,"12,20,33,42,46,47",27,46,2,4,2,4,0,2,0,1,3
19/071,2019-06-25,"23,25,29,32,40,46",13,29,1,5,3,3,0,0,3,2,1
19/070,2019-06-22,"13,29,30,33,43,47",16,33,1,5,5,1,0,1,2,1,2
19/069,2019-06-20,"9,11,15,21,25,33",46,,4,2,6,0,1,2,2,1,0
19/068,2019-06-18,"18,23,26,29,35,48",36,,2,4,3,3,0,1,3,1,1
19/067,2019-06-15,"7,8,17,30,42,44",24,,3,3,2,4,2,1,1,0,2
19/066,2019-06-13,"3,6,21,31,33,38",45,21,3,3,4,2,2,0,1,3,0
19/065,2019-06-11,"8,19,20,21,25,37",13,8,4,2,4,2,1,2,2,1,0
19/064,2019-06-09,"3,8,24,27,28,49",44,24,3,3,3,3,2,0,3,0,1
19/063,2019-06-06,"6,13,21,24,32,47",38,"21,24",4,2,3,3,1,1,2,1,1
19/062,2019-06-04,"16,21,24,28,37,40",48,,3,3,2,4,0,1,3,2,0
19/061,2019-06-01,"3,13,19,23,35,43",26,,4,2,6,0,1,2,1,1,1
19/060,2019-05-30,"12,15,16,31,36,46",3,,3,3,2,4,0,3,0,2,1
19/059,2019-05-28,"22,29,37,42,45,49",47,,1,5,4,2,0,0,2,1,3
19/058,2019-05-25,"12,14,23,30,40,48",1,14,3,3,1,5,0,2,2,1,1
19/057,2019-05-23,"11,13,14,17,33,43",27,,4,2,5,1,0,4,0,1,1
19/056,2019-05-21,"4,7,21,24,35,41",18,41,4,2,4,2,2,0,2,1,1
19/055,2019-05-19,"1,2,9,16,30,41",35,1,4,2,3,3,3,1,1,0,1
19/054,2019-05-16,"1,4,7,23,37,38",34,37,4,2,4,2,3,0,1,2,0
19/053,2019-05-14,"10,12,14,30,37,41",5,,3,3,2,4,1,2,1,1,1
19/052,2019-05-09,"3,4,5,24,29,32",2,,4,2,3,3,3,0,2,1,0
19/051,2019-05-07,"6,12,35,39,42,44",22,"6,35",2,4,2,4,1,1,0,2,2
19/050,2019-05-04,"6,13,19,20,24,35",43,"6,19",5,1,3,3,1,3,1,1,0
19/049,2019-05-02,"1,6,19,23,45,47",49,"1,45",4,2,5,1,2,1,1,0,2
19/048,2019-04-30,"1,29,32,43,45,49",5,32,1,5,5,1,1,0,1,1,3
19/047,2019-04-27,"2,8,14,21,32,35",4,21,4,2,2,4,2,1,1,2,0
19/046,2019-04-25,"11,13,18,21,28,34",19,28,4,2,3,3,0,3,2,1,0
19/045,2019-04-20,"28,30,32,37,39,47",23,"30,32",0,6,3,3,0,0,2,3,1
19/044,2019-04-16,"11,20,30,32,33,43",34,,2,4,3,3,0,2,1,2,1
19/043,2019-04-13,"3,15,22,35,40,49",39,,3,3,4,2,1,1,1,2,1
19/042,2019-04-11,"6,18,32,38,41,45",33,32,2,4,2,4,1,1,0,2,2
19/041,2019-04-09,"3,14,17,23,32,43",36,,4,2,4,2,1,2,1,1,1
19/040,2019-04-06,"8,21,34,37,41,45",49,34,2,4,4,2,1,0,1,2,2
19/039,2019-04-04,"29,34,38,42,44,47",36,,0,6,2,4,0,0,1,2,3
19/038,2019-04-02,"6,10,15,21,24,28",49,15,5,1,2,4,2,1,3,0,0
19/037,2019-03-30,"15,17,18,37,39,49",31,17,3,3,5,1,0,3,0,2,1
19/036,2019-03-28,"3,5,17,23,41,44",40,3,4,2,5,1,2,1,1,0,2
19/035,2019-03-26,"2,3,10,21,31,35",11,10,4,2,4,2,3,0,1,2,0
19/034,2019-03-23,"10,11,15,39,46,49",21,,3,3,4,2,1,2,0,1,2
19/033,2019-03-21,"7,12,22,32,37,45",47,,3,3,3,3,1,1,1,2,1
19/032,2019-03-19,"4,18,23,38,40,46",15,23,3,3,1,5,1,1,1,2,1
19/031,2019-03-16,"5,9,12,23,31,43",29,43,4,2,5,1,2,1,1,1,1
19/030,2019-03-14,"4,10,25,28,40,43",39,,2,4,2,4,2,0,2,1,1
19/029,2019-03-12,"6,21,27,33,38,47",46,,2,4,4,2,1,0,2,2,1
19/028,2019-03-09,"13,32,34,35,41,46",30,,1,5,3,3,0,1,0,3,2
19/027,2019-03-07,"8,15,17,23,39,44",40,,4,2,4,2,1,2,1,1,1
19/026,2019-03-05,"10,16,28,32,34,49",45,,2,4,1,5,1,1,1,2,1
19/025,2019-03-03,"21,24,26,35,44,47",8,24,2,4,3,3,0,0,3,1,2
19/024,2019-02-28,"22,24,25,30,32,43",11,,2,4,2,4,0,0,4,1,1
19/023,2019-02-26,"9,12,13,19,21,46",15,"13,21",5,1,4,2,1,3,1,0,1
19/022,2019-02-23,"13,14,15,21,33,49",1,49,4,2,5,1,0,3,1,1,1
19/021,2019-02-21,"16,29,36,39,42,49",34,16,1,5,3,3,0,1,1,2,2
19/020,2019-02-19,"2,5,8,13,16,33",41,8,5,1,3,3,3,2,0,1,0
19/019,2019-02-16,"3,7,8,17,19,23",12,8,6,0,5,1,3,2,1,0,0
19/018,2019-02-14,"5,8,16,20,43,46",11,,4,2,2,4,2,2,0,0,2
19/017,2019-02-12,"9,17,26,31,32,40",27,,2,4,3,3,1,1,1,3,0
19/016,2019-02-09,"1,19,29,34,39,49",43,"19,29",2,4,5,1,1,1,1,2,1
19/015,2019-02-06,"2,4,11,15,19,29",1,19,5,1,4,2,2,3,1,0,0
19/014,2019-02-03,"5,6,13,19,34,35",39,,4,2,4,2,2,2,0,2,0
19/013,2019-01-31,"18,22,26,31,33,41",27,,2,4,3,3,0,1,2,2,1
19/012,2019-01-29,"3,10,14,24,32,45",29,"14,45",4,2,2,4,2,1,1,1,1
19/011,2019-01-26,"14,27,29,41,45,46",21,"41,46",1,5,4,2,0,1,2,0,3
19/010,2019-01-24,"11,18,33,41,43,46",36,33,2,4,4,2,0,2,0,1,3
19/009,2019-01-22,"3,19,25,30,33,48",44,,2,4,4,2,1,1,2,1,1
19/008,2019-01-19,"13,24,31,34,44,47",8,,2,4,3,3,0,1,1,2,2
19/007,2019-01-17,"16,18,28,35,36,41",37,16,2,4,2,4,0,2,1,2,1
19/006,2019-01-15,"10,16,17,33,44,48",7,"10,48",3,3,2,4,1,2,0,1,2
19/005,2019-01-13,"10,18,35,37,48,49",27,,2,4,3,3,1,1,0,2,2
19/004,2019-01-10,"6,7,28,31,36,43",23,,2,4,3,3,2,0,1,2,1
19/003,2019-01-08,"4,5,12,23,30,40",10,"12,23",4,2,2,4,2,1,2,1,0
19/002,2019-01-05,"12,13,16,19,23,45",2,"23,45",5,1,4,2,0,4,1,0,1
19/001,2019-01-03,"8,23,25,30,32,45",24,,2,4,3,3,1,0,3,1,1
18/149,2018-12-30,"6,7,13,33,35,46",43,35,3,3,4,2,2,1,0,2,1
18/148,2018-12-27,"1,4,17,22,23,35",37,,5,1,4,2,2,1,2,1,0
18/147,2018-12-25,"2,14,16,32,41,47",23,,3,3,2,4,1,2,0,1,2
18/146,2018-12-22,"7,20,33,46,48,49",4,7,2,4,3,3,1,1,0,1,3
18/145,2018-12-20,"4,7,8,12,13,26",42,13,5,1,2,4,3,2,1,0,0
18/144,2018-12-18,"1,10,11,13,30,33",45,"10,30,33",4,2,4,2,2,2,1,1,0
18/143,2018-12-15,"5,10,30,33,36,37",22,33,2,4,3,3,2,0,1,3,0
18/142,2018-12-13,"1,15,21,23,24,33",39,33,5,1,5,1,1,1,3,1,0
18/141,2018-12-11,"7,8,10,20,33,42",22,20,4,2,2,4,3,1,0,1,1
18/140,2018-12-08,"20,27,29,40,45,48",43,"20,40",1,5,3,3,0,1,2,1,2
18/139,2018-12-06,"8,20,32,40,44,46",34,"8,20",2,4,0,6,1,1,0,2,2
18/138,2018-12-04,"8,11,14,20,22,31",19,20,5,1,2,4,1,3,1,1,0
18/137,2018-12-01,"2,20,29,32,38,39",47,,2,4,2,4,1,1,1,3,0
18/136,2018-11-29,"14,25,31,34,36,43",35,,1,5,3,3,0,1,1,3,1
18/135,2018-11-27,"7,8,15,27,29,38",39,8,3,3,4,2,2,1,2,1,0
18/134,2018-11-24,"3,8,13,25,30,34",32,,3,3,3,3,2,1,2,1,0
18/133,2018-11-22,"15,16,18,22,26,48",34,,4,2,1,5,0,3,2,0,1
18/132,2018-11-20,"4,12,14,17,29,35",38,"12,14",4,2,3,3,1,3,1,1,0
18/131,2018-11-17,"5,9,12,14,42,43",45,,4,2,3,3,2,2,0,0,2
18/130,2018-11-15,"2,10,29,32,40,41",44,,2,4,2,4,2,0,1,2,1
18/129,2018-11-13,"8,22,30,34,35,37",29,,2,4,2,4,1,0,2,3,0
18/128,2018-11-11,"6,24,26,36,44,49",8,24,2,4,1,5,1,0,2,1,2
18/127,2018-11-08,"9,16,22,24,40,47",17,"22,47",4,2,2,4,1,1,2,1,1
18/126,2018-11-06,"1,8,22,23,46,47",12,,4,2,3,3,2,0,2,0,2
18/125,2018-11-03,"4,19,24,38,39,44",46,,3,3,2,4,1,1,1,2,1
18/124,2018-11-01,"9,13,15,16,20,32",12,,5,1,3,3,1,4,0,1,0
18/123,2018-10-30,"4,7,10,22,34,42",38,,4,2,1,5,3,0,1,1,1
18/122,2018-10-27,"1,5,15,39,45,47",43,,3,3,6,0,2,1,0,1,2
18/121,2018-10-25,"6,13,20,25,27,29",21,"6,20",3,3,4,2,1,2,3,0,0
18/120,2018-10-23,"6,17,20,34,36,44",15,,3,3,1,5,1,2,0,2,1
18/119,2018-10-20,"10,13,22,25,40,42",5,,3,3,2,4,1,1,2,1,1
18/118,2018-10-16,"7,11,19,32,45,46",37,,3,3,4,2,1,2,0,1,2
18/117,2018-10-14,"8,14,21,24,34,43",1,,4,2,2,4,1,1,2,1,1
18/116,2018-10-11,"7,9,19,29,39,42",41,"7,9",3,3,5,1,2,1,1,1,1
18/115,2018-10-09,"7,9,18,27,44,45",15,44,3,3,4,2,2,1,1,0,2
18/114,2018-10-06,"2,10,35,39,44,49",8,35,2,4,3,3,2,0,0,2,2
18/113,2018-10-04,"13,19,34,35,45,46",27,13,2,4,4,2,0,2,0,2,2
18/112,2018-10-02,"13,18,23,28,33,49",19,,3,3,4,2,0,2,2,1,1
18/111,2018-09-29,"9,31,34,35,37,38",16,,1,5,4,2,1,0,0,5,0
18/110,2018-09-27,"14,17,30,46,48,49",36,"14,48",2,4,2,4,0,2,1,0,3
18/109,2018-09-25,"5,14,20,22,24,48",4,,5,1,1,5,1,2,2,0,1
18/108,2018-09-23,"2,13,21,23,32,40",30,40,4,2,3,3,1,1,2,2,0
18/107,2018-09-20,"5,6,17,26,40,41",46,,3,3,3,3,2,1,1,1,1
18/106,2018-09-18,"9,11,18,23,32,48",26,"11,48",4,2,3,3,1,2,1,1,1
18/105,2018-09-15,"4,6,11,33,37,48",41,48,3,3,3,3,2,1,0,2,1
18/104,2018-09-13,"14,20,22,39,41,48",35,,3,3,2,4,0,2,1,1,2
18/103,2018-09-11,"31,36,38,45,47,49",37,,0,6,4,2,0,0,0,3,3
18/102,2018-09-08,"7,9,12,18,41,46",33,,4,2,3,3,2,2,0,0,2
18/101,2018-09-06,"17,26,30,33,38,49",47,33,1,5,3,3,0,1,2,2,1
18/100,2018-09-04,"4,5,33,36,44,47",13,,2,4,3,3,2,0,0,2,2
18/099,2018-09-01,"10,13,20,26,35,45",37,,3,3,3,3,1,2,1,1,1
18/098,2018-08-30,"4,15,21,23,44,46",13,46,4,2,3,3,1,1,2,0,2
18/097,2018-08-28,"9,18,26,30,36,46",2,,2,4,1,5,1,1,2,1,1
18/096,2018-08-25,"3,4,19,28,31,48",27,,3,3,3,3,2,1,1,1,1
18/095,2018-08-23,"12,14,22,30,38,44",34,,3,3,0,6,0,2,2,1,1
18/094,2018-08-21,"3,10,18,28,40,47",4,47,3,3,2,4,2,1,1,1,1
18/093,2018-08-18,"2,14,24,37,42,47",20,,3,3,2,4,1,1,1,1,2
18/092,2018-08-16,"9,13,16,27,29,41",37,,3,3,5,1,1,2,2,0,1
18/091,2018-08-14,"32,37,38,42,43,49",24,"38,49",0,6,3,3,0,0,0,3,3
18/090,2018-08-11,"1,11,25,38,47,49",37,11,2,4,5,1,1,1,1,1,2
18/089,2018-08-09,"8,10,11,20,21,34",13,21,5,1,2,4,2,2,1,1,0
18/088,2018-08-07,"4,21,25,39,46,47",12,4,2,4,4,2,1,0,2,1,2
18/087,2018-08-04,"4,15,23,34,37,48",30,34,3,3,3,3,1,1,1,2,1
18/086,2018-08-02,"3,5,11,34,35,45",28,,3,3,5,1,2,1,0,2,1
18/085,2018-07-31,"24,27,36,43,44,46",30,43,1,5,2,4,0,0,2,1,3
18/084,2018-07-28,"5,7,11,26,30,43",17,,3,3,4,2,2,1,2,0,1
18/083,2018-07-26,"22,32,37,44,46,49",38,"32,37",1,5,2,4,0,0,1,2,3
18/082,2018-07-24,"2,16,17,27,32,37",12,37,3,3,3,3,1,2,1,2,0
18/081,2018-07-21,"13,14,15,37,38,44",40,,3,3,3,3,0,3,0,2,1
18/080,2018-07-19,"12,16,23,25,40,42",20,,3,3,2,4,0,2,2,1,1
18/079,2018-07-17,"6,10,32,36,41,48",47,36,2,4,1,5,2,0,0,2,2
18/078,2018-07-14,"7,13,22,27,33,36",45,"7,33",3,3,4,2,1,1,2,2,0
18/077,2018-07-12,"1,5,7,8,30,33",22,8,4,2,4,2,4,0,1,1,0
18/076,2018-07-10,"6,8,29,38,41,49",2,8,2,4,3,3,2,0,1,1,2
18/075,2018-07-07,"8,17,20,26,40,46",19,"20,40",3,3,1,5,1,2,1,1,1
18/074,2018-07-05,"1,13,20,34,38,40",29,,3,3,2,4,1,2,0,3,0
18/073,2018-07-03,"3,21,22,41,45,49",10,,3,3,5,1,1,0,2,0,3
18/072,2018-06-30,"5,6,16,18,30,32",27,6,4,2,1,5,2,2,1,1,0
18/071,2018-06-28,"6,13,23,29,38,45",41,,3,3,4,2,1,1,2,1,1
18/070,2018-06-26,"7,8,12,17,33,42",26,,4,2,3,3,2,2,0,1,1
18/069,2018-06-23,"2,9,16,18,24,46",47,"16,24",5,1,1,5,2,2,1,0,1
18/068,2018-06-21,"16,23,24,31,33,34",18,"31,33",3,3,3,3,0,1,2,3,0
18/067,2018-06-19,"2,7,21,31,33,42",24,"7,21",3,3,4,2,2,0,1,2,1
18/066,2018-06-17,"1,7,20,21,35,48",22,35,4,2,4,2,2,1,1,1,1
18/065,2018-06-14,"2,10,24,28,35,39",27,,3,3,2,4,2,0,2,2,0
18/064,2018-06-12,"30,31,34,40,41,42",33,41,0,6,2,4,0,0,1,3,2
18/063,2018-06-09,"11,23,35,41,46,49",47,,2,4,5,1,0,1,1,1,3
18/062,2018-06-07,"5,32,34,36,38,43",25,34,1,5,2,4,1,0,0,4,1
18/061,2018-06-05,"6,10,24,34,40,45",9,,3,3,1,5,2,0,1,2,1
18/060,2018-06-02,"4,15,30,33,38,41",16,33,2,4,3,3,1,1,1,2,1
18/059,2018-05-31,"3,5,28,33,40,49",32,3,2,4,4,2,2,0,1,2,1
18/058,2018-05-29,"3,6,11,22,45,46",1,22,4,2,3,3,2,1,1,0,2
18/057,2018-05-26,"1,12,22,40,42,44",28,12,3,3,1,5,1,1,1,1,2
18/056,2018-05-24,"4,5,7,11,12,13",18,"7,12",6,0,4,2,3,3,0,0,0
18/055,2018-05-22,"7,12,14,22,31,33",38,14,4,2,3,3,1,2,1,2,0
18/054,2018-05-19,"14,23,29,36,37,47",25,23,2,4,4,2,0,1,2,2,1
18/053,2018-05-17,"3,16,23,30,43,46",26,,3,3,3,3,1,1,2,0,2
18/052,2018-05-15,"5,8,9,19,32,44",39,"9,19",4,2,3,3,3,1,0,1,1
18/051,2018-05-13,"1,6,9,19,21,23",43,19,6,0,5,1,3,1,2,0,0
18/050,2018-05-10,"12,19,25,31,36,49",11,31,2,4,4,2,0,2,1,2,1
